"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"30pF","desc","C1,C2,","C_0402_1005Metric","libref","2","2","","",
"10uF","desc","C3,C6,","C_0603_1608Metric","libref","2","2","","",
"0.1uF","desc","C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,","C_0402_1005Metric","libref","2","10","","",
"GREEN","desc","D1,","LED_0402_1005Metric","libref","2","1","","",
"RED","desc","D2,","LED_0402_1005Metric","libref","2","1","","",
"YELLOW","desc","D3,","LED_0402_1005Metric","libref","2","1","","",
"BOOT0","desc","J5,","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","libref","2","1","","",
"~RST","desc","J6,","SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","libref","2","1","","",
"TSOP-48","desc","P1,","TSOP-I-48_18.4x12mm_P0.5mm","libref","48","1","","",
"510","desc","R1,","R_0402_1005Metric","libref","2","1","","",
"10k","desc","R2,R4,R8,R9,R10,R11,R12,R15,","R_0402_1005Metric","libref","2","8","","",
"1k","desc","R3,R13,R14,","R_0402_1005Metric","libref","2","3","","",
"5.1k","desc","R5,R6,","R_0402_1005Metric","libref","2","2","","",
"1.5k","desc","R7,","R_0402_1005Metric","libref","2","1","","",
"22","desc","R16,R17,","R_0402_1005Metric","libref","2","2","","",
"LM1117-3.3","desc","U1,","SOT-223","libref","4","1","","",
"STM32F103VCT6","desc","U2,","LQFP-100_14x14mm_Pitch0.5mm","libref","100","1","","",
"Crystal_GND24_Small","desc","Y1,","Crystal_SMD_3225-4Pin_3.2x2.5mm","libref","4","1","","",
"Through Hole Items ",
"Conn_01x04","desc","J1,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","~",
"Conn_01x03","desc","J2,","PinHeader_1x03_P2.54mm_Vertical","libref","3","1","","~",
"Conn_02x12_Odd_Even_Left","desc","J3,","PinHeader_2x12_P2.54mm_Vertical","libref","24","1","","~",
"Conn_02x12_Odd_Even_Right","desc","J4,","PinHeader_2x12_P2.54mm_Vertical_2","libref","24","1","","~",
"USB_C_Receptacle_USB2.0","desc","J7,","USB_C_Receptacle_HRO_TYPE-C-31-M-12","libref","22","1","","",
"Conn_02x12_Odd_Even_1","desc","J8,","PinSocket_2x12_P2.54mm_Vertical","libref","24","1","","",
"Conn_02x12_Odd_Even_2","desc","J9,","PinSocket_2x12_P2.54mm_Vertical_2","libref","24","1","","",
